香港 Hongkong,#genre#
Discovery HD,https://phdown.serv00.net/Smartv.php?id=discoveryhd_twn
NatGeo HD,https://phdown.serv00.net/Smartv.php?id=Natgeo
Fashion TV,https://phdown.serv00.net/Smartv.php?id=fashiontv_twn
History,https://phdown.serv00.net/Smartv.php?id=History 
BBC Earth HD,https://phdown.serv00.net/Smartv.php?id=bbcearth_twn
BBC Earth Lifestyle,https://phdown.serv00.net/Smartv.php?id=bbclifestyle_twn
MTV Live,https://phdown.serv00.net/Smartv.php?id=mtvhd_twn
NatGeo Wild HD,https://phdown.serv00.net/Smartv.php?id=Natgeowild
Animal Planet (Eng),https://phdown.serv00.net/Smartv.php?id=AnimalPlanet
TLC,https://phdown.serv00.net/Smartv.php?id=Tlc
Foodnetwork Hd,https://phdown.serv00.net/Smartv.php?id=Foodnetwork_mega
Sun TV HD,https://phdown.serv00.net/Smartv.php?id=Suntv
Star Vijay,https://phdown.serv00.net/Smartv.php?id=Starvijay
Colors Tamil,https://phdown.serv00.net/Smartv.php?id=Colorstam_mega
Sun Music,https://phdown.serv00.net/Smartv.php?id=Sunmusic
Astro Sunlife,https://phdown.serv00.net/Smartv.php?id=Sunlife
Astro Vaanavil,https://phdown.serv00.net/Smartv.php?id=Vaanavil
Zee Tamil,https://phdown.serv00.net/Smartv.php?id=Zeetamil
Zee Business,https://phdown.serv00.net/Smartv.php?id=Zeebusiness
News 18 Tamil,https://phdown.serv00.net/Smartv.php?id=news18tamil_raj
Adithya,https://phdown.serv00.net/Smartv.php?id=Adithya
Thanthi TV,https://phdown.serv00.net/Smartv.php?id=thanthitv
Makkal TV,https://phdown.serv00.net/Smartv.php?id=Makkaltv
Zee Action,https://phdown.serv00.net/Smartv.php?id=Zeeaction
KTV UK,https://phdown.serv00.net/Smartv.php?id=ktvuk_tamil
Zee TV HD,https://phdown.serv00.net/Smartv.php?id=Zeetvhd Zee
Cinema HD,https://phdown.serv00.net/Smartv.php?id=Zeecinemahd
Color HD,https://phdown.serv00.net/Smartv.php?id=Colorhd
Picture HD,https://phdown.serv00.net/Smartv.php?id=Npicture Zee
News,107.http://172.63.16:9630/Smartv.php?id=Zeenews
Asianet,https://phdown.serv00.net/Smartv.php?id=asianet_raj
Asianet News,https://phdown.serv00.net/Smartv.php?id=asianetnews_raj
Times Now,https://phdown.serv00.net/Smartv.php?id=timesnow_mega
BBC Earth Tamil,https://phdown.serv00.net/Smartv.php?id=bbcearthtam_raj
DiscoveryWorld Tamil,https://phdown.serv00.net/Smartv.php?id=discoveryworldtam_raj
History Tamil,https://phdown.serv00.net/Smartv.php?id=historytam_raj
NatGeo Tamil,https://phdown.serv00.net/Smartv.php?id=natgeotamil_raj
Natgeo Wild Tamil,https://phdown.serv00.net/Smartv.php?id=natgeowildtamil_raj
Cartoon Network Tamil,https://phdown.serv00.net/Smartv.php?id=cntamil_raj
Discovery Kids Tamil,https://phdown.serv00.net/Smartv.php?id=discoverykidtamil_raj
Discovery Tamil,https://phdown.serv00.net/Smartv.php?id=discoverytamil_raj
Sony Yay Tamil,https://phdown.serv00.net/Smartv.php?id=sonyyaytam_raj
Sun TV India,https://phdown.serv00.net/Smartv.php?id=suntv_raj
Starmaa HD,https://phdown.serv00.net/Smartv.php?id=starmaa_raj
Starmaa Movies HD,https://phdown.serv00.net/Smartv.php?id=starmaamovies_raj
Bollyone,https://phdown.serv00.net/Smartv.php?id=Bollyone
Astro Sunmusic,https://phdown.serv00.net/Smartv.php?id=Sunmusic
Sony Pix HD,https://phdown.serv00.net/Smartv.php?id=sonypix_mega
TVRI National,https://phdown.serv00.net/Smartv.php?id=TVRI
RCTI,https://phdown.serv00.net/Smartv.php?id=Rcti Kompass
TV,https://phdown.serv00.net/Smartv.php?id=Kompass
Berita Satu,https://phdown.serv00.net/Smartv.php?id=BeritaSatu_eko
IndosiarHD,https://phdown.serv00.net/Smartv.php?id=Indosiar
AnTV,https://phdown.serv00.net/Smartv.php?id=Antv
MNC TV,https://phdown.serv00.net/Smartv.php?id=Mnctv
Trans 7,https://phdown.serv00.net/Smartv.php?id=Trans7_eko
Transtv,https://phdown.serv00.net/Smartv.php?id=Transtv
JTV,https://phdown.serv00.net/Smartv.php?id=JTV_eko Metro
TV,https://phdown.serv00.net/Smartv.php?id=metrotv_eko
Cinemax,https://phdown.serv00.net/Smartv.php?id=Cinemax
SCTV,https://phdown.serv00.net/Smartv.php?id=SCTV
Tvone,https://phdown.serv00.net/Smartv.php?id=Tvone
TVMU,https://phdown.serv00.net/Smartv.php?id=TVMU_eko
GTV,https://phdown.serv00.net/Smartv.php?id=Gtv
RTV,https://phdown.serv00.net/Smartv.php?id=Rtv
Jak TV,https://phdown.serv00.net/Smartv.php?id=JakTV
iNews TV,https://phdown.serv00.net/Smartv.php?id=Inewstv
Daai TV,https://phdown.serv00.net/Smartv.php?id=DaaiTV
Net TV,https://phdown.serv00.net/Smartv.php?id=NetTV
Animax,https://phdown.serv00.net/Smartv.php?id=Animax
EWTN,https://phdown.serv00.net/Smartv.php?id=Ewtn
AlQuran AlKareem,https://phdown.serv00.net/Smartv.php?id=AlQuran
Tawaf TV,https://phdown.serv00.net/Smartv.php?id=TawafTV
Vision Prime,https://phdown.serv00.net/Smartv.php?id=VisionPrime
Muslim TV,https://phdown.serv00.net/Smartv.php?id=MuslimTV
Music TV,https://phdown.serv00.net/Smartv.php?id=MusicTV
Lifestyle&Fashion,https://phdown.serv00.net/Smartv.php?id=Lifestyle
Entertain,https://phdown.serv00.net/Smartv.php?id=Entertain
Hits,https://phdown.serv00.net/Smartv.php?id=Hits Warner
TV,https://phdown.serv00.net/Smartv.php?id=WarnerTV
SCM,https://phdown.serv00.net/Smartv.php?id=Weishimovie
Thrill,https://phdown.serv00.net/Smartv.php?id=Thrill Fight
Sports,https://phdown.serv00.net/Smartv.php?id=Fs Beinsports
HD,https://phdown.serv00.net/Smartv.php?id=Bein2hd
One,https://phdown.serv00.net/Smartv.php?id=One_mega
HitsMovie,https://phdown.serv00.net/Smartv.php?id=Hitsmovie
tvN Movie,https://phdown.serv00.net/Smartv.php?id=Tvnmovie
Celestial Movies HD,https://phdown.serv00.net/Smartv.php?id=Celestialindo
Rock Actions,https://phdown.serv00.net/Smartv.php?id=Rockaction
Rock Entertainment,https://phdown.serv00.net/Smartv.php?id=Rockentertain 
日本 Japan,#genre#
NHK-総合-2,https://phdown.serv00.net/Smartv.php?id=nhkg_japan
NHK-E,https://phdown.serv00.net/Smartv.php?id=nhke_japan
Asahi TV,https://phdown.serv00.net/Smartv.php?id=asahitv_japan
JET 綜合,https://phdown.serv00.net/Smartv.php?id=jettv_japan
テレビ東京,https://phdown.serv00.net/Smartv.php?id=tokyotv_japan
TOKYOMX,https://phdown.serv00.net/Smartv.php?id=tokyomx_japan
NHKBS1,https://phdown.serv00.net/Smartv.php?id=nhkbs1_japan
NHKBSプレミアPremium,https://phdown.serv00.net/Smartv.php?id=nhkpremium_japan
BSジャパン,https://phdown.serv00.net/Smartv.php?id=bs181_japan
BSフジ BS Fuji,https://phdown.serv00.net/Smartv.php?id=bsfuji_japan
CNA Japan,https://phdown.serv00.net/Smartv.php?id=cna_japan
BS-TBS,https://phdown.serv00.net/Smartv.php?id=bstbs_japan
NHK Oaska,https://phdown.serv00.net/Smartv.php?id=nhkosaka_japan
NHK World,https://phdown.serv00.net/Smartv.php?id=nhkworld_japan 
Baby TV Eng,https://phdown.serv00.net/Smartv.php?id=Babytv
CBeebies,https://phdown.serv00.net/Smartv.php?id=Cbeebies
Kids TV,https://phdown.serv00.net/Smartv.php?id=KidsTV
Boomerang,https://phdown.serv00.net/Smartv.php?id=Boomerang
Disney Taiwan,https://phdown.serv00.net/Smartv.php?id=disneytwn_twn
Momo TV,https://phdown.serv00.net/Smartv.php?id=momo1_twn
Animax,https://phdown.serv00.net/Smartv.php?id=Animax
Boomerang Taiwan,https://phdown.serv00.net/Smartv.php?id=boomerang_twn
Baby TV,https://phdown.serv00.net/Smartv.php?id=babytv_twn
MiaoMi,https://phdown.serv00.net/Smartv.php?id=MiaoMi
Cartoon Network,https://phdown.serv00.net/Smartv.php?id=Cn
Nickelodeon,https://phdown.serv00.net/Smartv.php?id=Nickelodeon
Nick Jr,https://phdown.serv00.net/Smartv.php?id=Nickjr
Arirang HD,https://phdown.serv00.net/Smartv.php?id=arirang_korea
Yonhap News,https://phdown.serv00.net/Smartv.php?id=yonhapnews_korea
CBS,https://phdown.serv00.net/Smartv.php?id=cbs_korea
EBS 1,https://phdown.serv00.net/Smartv.php?id=ebs1_korea
EBS2,https://phdown.serv00.net/Smartv.php?id=ebs2_korea
EBS Plus2,https://phdown.serv00.net/Smartv.php?id=ebsplus2_korea
SBS Plus,https://phdown.serv00.net/Smartv.php?id=sbsplus_korea
YTN,https://phdown.serv00.net/Smartv.php?id=ytn_korea
KBS World 24,https://phdown.serv00.net/Smartv.php?id=kbsworld24_korea
YTN Science,https://phdown.serv00.net/Smartv.php?id=ytnscience_korea
YTN Korean,https://phdown.serv00.net/Smartv.php?id=ytnkorean_korea
YTN DMB,https://phdown.serv00.net/Smartv.php?id=ytndmb_korea
Apps TV,https://phdown.serv00.net/Smartv.php?id=appongoogle_korea
All the Kpop,https://phdown.serv00.net/Smartv.php?id=allthekpop_korea
J the Kpop,https://phdown.serv00.net/Smartv.php?id=jthekpop_korea
EBS Kids,https://phdown.serv00.net/Smartv.php?id=ebskids_korea
CGNTV,https://phdown.serv00.net/Smartv.php?id=cgntv_korea
馬來西亞 Malaysia,#genre#
TV1,https://phdown.serv00.net/Smartv.php?id=TV1
TV1 backup,https://phdown.serv00.net/Smartv.php?id=TV1_backup
TV2,https://phdown.serv00.net/Smartv.php?id=TV2
TV3,https://phdown.serv00.net/Smartv.php?id=TV3
TV3 backup,https://phdown.serv00.net/Smartv.php?id=tv3_twn
NTV7,https://phdown.serv00.net/Smartv.php?id=NTV7
TV8,https://phdown.serv00.net/Smartv.php?id=TV8
TV9,https://phdown.serv00.net/Smartv.php?id=TV9
Warna,https://phdown.serv00.net/Smartv.php?id=Warna-O
Warna backup,https://phdown.serv00.net/Smartv.php?id=Warna
Ria,https://phdown.serv00.net/Smartv.php?id=Ria-0
Ria backup,https://phdown.serv00.net/Smartv.php?id=Ri
Al-Hijrah,https://phdown.serv00.net/Smartv.php?id=Alhijrah
Al-Hijrah backup,https://phdown.serv00.net/Smartv.php?id=Alhijrah_backup
Awani,https://phdown.serv00.net/Smartv.php?id=Awani
Bernama,https://phdown.serv00.net/Smartv.php?id=Bernama
Prima,https://phdown.serv00.net/Smartv.php?id=Prima-0 Prima
backup,https://phdown.serv00.net/Smartv.php?id=Prima_xue
Ceria,https://phdown.serv00.net/Smartv.php?id=Ceria
Mecca Live HD,https://phdown.serv00.net/Smartv.php?id=quran_mido
Madinah HD,https://phdown.serv00.net/Smartv.php?id=sunnah_mido
Oasis,https://phdown.serv00.net/Smartv.php?id=Oasis HBO
Hits HD,https://phdown.serv00.net/Smartv.php?id=Hbohits
HBO HD,https://phdown.serv00.net/Smartv.php?id=Hbo
HBO Signature,https://phdown.serv00.net/Smartv.php?id=Hbosignature
NatGeo Wild HD,https://phdown.serv00.net/Smartv.php?id=Natgeowild
Cartoon Network,https://phdown.serv00.net/Smartv.php?id=Cn
Nickelodeon,https://phdown.serv00.net/Smartv.php?id=Nickelodeon
Nick Jr,107.http://172.63.16:9630/Smartv.php?id=Nickjr
Dreamworks,https://phdown.serv00.net/Smartv.php?id=Dreamworks
Citra,https://phdown.serv00.net/Smartv.php?id=Citra_xue
